wavelength_nm,mono,green,blue,red
545.0000,0.6145,0.6015,0.0674,0.0066
546.0000,0.6097,0.6003,0.0634,0.0083
547.0000,0.5506,0.5989,0.0600,0.0103
548.0000,0.4674,0.5971,0.0569,0.0127
549.0000,0.3855,0.5948,0.0540,0.0152
550.0000,0.3056,0.5923,0.0511,0.0191
551.0000,0.2268,0.5895,0.0482,0.0235
552.0000,0.1488,0.5865,0.0451,0.0285
553.0000,0.0716,0.5832,0.0417,0.0348
554.0000,0.0504,0.5795,0.0386,0.0413
555.0000,0.0557,0.5756,0.0357,0.0482
556.0000,0.0628,0.5714,0.0329,0.0559
557.0000,0.0702,0.5670,0.0305,0.0637
558.0000,0.0785,0.5624,0.0286,0.0717
559.0000,0.0879,0.5576,0.0272,0.0796
560.0000,0.0975,0.5525,0.0264,0.0872
561.0000,0.1067,0.5474,0.0256,0.0954
562.0000,0.1157,0.5421,0.0246,0.1045
563.0000,0.1249,0.5368,0.0236,0.1140
564.0000,0.1342,0.5312,0.0226,0.1233
565.0000,0.1433,0.5255,0.0216,0.1328
566.0000,0.1526,0.5197,0.0207,0.1428
567.0000,0.1629,0.5136,0.0199,0.1533
568.0000,0.1735,0.5073,0.0191,0.1637
569.0000,0.1843,0.5010,0.0184,0.1740
570.0000,0.1955,0.4946,0.0177,0.1842
571.0000,0.2070,0.4881,0.0171,0.1945
572.0000,0.2186,0.4813,0.0166,0.2052
573.0000,0.2299,0.4746,0.0162,0.2159
574.0000,0.2415,0.4679,0.0156,0.2266
575.0000,0.2533,0.4612,0.0151,0.2374
576.0000,0.2647,0.4543,0.0146,0.2481
577.0000,0.2756,0.4474,0.0143,0.2587
578.0000,0.2863,0.4406,0.0139,0.2691
579.0000,0.2967,0.4337,0.0135,0.2795
580.0000,0.3068,0.4268,0.0130,0.2898
581.0000,0.3166,0.4202,0.0127,0.2999
582.0000,0.3264,0.4142,0.0123,0.3098
583.0000,0.3368,0.4089,0.0119,0.3190
584.0000,0.3464,0.4026,0.0115,0.3283
585.0000,0.3551,0.3947,0.0113,0.3379
586.0000,0.3630,0.3852,0.0111,0.3481
587.0000,0.3705,0.3763,0.0110,0.3578
